"target_share","actual_share","pca_wins","pca_advantage"
0.1,0.1,FALSE,-18.7674542074201
0.1,0.1,TRUE,5.40057422026803
0.1,0.1,TRUE,1.00370117402053
0.1,0.1,FALSE,-9.54818440067174
0.1,0.1,FALSE,-5.60199113180352
0.1,0.1,FALSE,-9.77399377639449
0.1,0.1,FALSE,-14.6823537630044
0.1,0.1,FALSE,-10.6583666238148
0.1,0.1,FALSE,-12.839767105299
0.1,0.1,FALSE,-0.426279848928971
0.1,0.1,FALSE,-1.13964160238538
0.1,0.1,FALSE,-4.17787579131982
0.1,0.1,FALSE,-16.2751045097611
0.1,0.1,FALSE,-2.74269751196698
0.1,0.1,TRUE,0.287059320045955
0.1,0.1,FALSE,-15.4698063825599
0.1,0.1,TRUE,2.17445366408356
0.1,0.1,FALSE,-15.3157917621502
0.1,0.1,FALSE,-19.4219421372145
0.1,0.1,TRUE,4.7346739903478
0.1,0.1,FALSE,-37.2944027139965
0.1,0.1,FALSE,-0.213755131488142
0.1,0.1,FALSE,-13.702832498966
0.1,0.1,FALSE,-5.03927015941736
0.1,0.1,FALSE,-40.552882227199
0.1,0.1,FALSE,-10.0736963173222
0.1,0.1,FALSE,-17.2570900792925
0.1,0.1,FALSE,-59.7181729768381
0.1,0.1,FALSE,-21.0170042122045
0.1,0.1,FALSE,-41.7016719269377
0.1,0.1,FALSE,-45.9908604541488
0.1,0.1,FALSE,-13.1143655879132
0.1,0.1,FALSE,-12.0915144396931
0.1,0.1,TRUE,3.36342286940271
0.1,0.1,TRUE,0.2405108739149
0.1,0.1,FALSE,-11.4274097002562
0.1,0.1,FALSE,-0.221875070008537
0.1,0.1,TRUE,3.57914454135971
0.1,0.1,FALSE,-7.70877439672404
0.1,0.1,FALSE,-20.4224368846553
0.1,0.1,FALSE,-1.2017376144031
0.1,0.1,FALSE,-35.1942668703086
0.1,0.1,TRUE,1.7953927394592
0.1,0.1,FALSE,-20.3535905367571
0.1,0.1,FALSE,-21.4652376522754
0.1,0.1,FALSE,-20.1470194558569
0.1,0.1,FALSE,-14.1184321694818
0.1,0.1,FALSE,-55.7400046856746
0.1,0.1,FALSE,-4.96962422814613
0.1,0.1,FALSE,-17.4035348176731
0.11,0.11,FALSE,-37.9542636106198
0.11,0.11,FALSE,-46.9699891142263
0.11,0.11,FALSE,-25.920715998298
0.11,0.11,FALSE,-28.9173792201946
0.11,0.11,FALSE,-29.1333007458052
0.11,0.11,FALSE,-31.0220131293718
0.11,0.11,FALSE,-12.1157301837411
0.11,0.11,FALSE,-35.3967061796102
