"scenario","method","k","pct_reduction","sectors"
"COVID-19","PCA (PC1 only)",3,0.173343334793388,"3,2,5"
"COVID-19","PCA (PC1 only)",5,0.28097726139696,"3,2,5,8,4"
"COVID-19","PCA (PC1 only)",7,0.362735456419237,"3,2,5,8,4,10,7"
"COVID-19","PCA (PC1 only)",10,0.415113215220832,"3,2,5,8,4,10,7,11,1,9"
"COVID-19","PCA (PC1 only)",12,0.502892280777232,"3,2,5,8,4,10,7,11,1,9,12,6"
"COVID-19","PCA (2-PC distance)",3,0.173343334793388,"3,2,5"
"COVID-19","PCA (2-PC distance)",5,0.28097726139696,"3,2,5,8,4"
"COVID-19","PCA (2-PC distance)",7,0.362735456419237,"3,2,5,8,4,7,10"
"COVID-19","PCA (2-PC distance)",10,0.415113215220832,"3,2,5,8,4,7,10,1,11,9"
"COVID-19","PCA (2-PC distance)",12,0.502892280777232,"3,2,5,8,4,7,10,1,11,9,6,12"
"COVID-19","PCA (3-PC distance)",3,0.132761720953913,"5,3,1"
"COVID-19","PCA (3-PC distance)",5,0.211381092386027,"5,3,1,2,8"
"COVID-19","PCA (3-PC distance)",7,0.331264151447328,"5,3,1,2,8,7,4"
"COVID-19","PCA (3-PC distance)",10,0.415113215220832,"5,3,1,2,8,7,4,10,11,9"
"COVID-19","PCA (3-PC distance)",12,0.502892280777232,"5,3,1,2,8,7,4,10,11,9,6,12"
"COVID-19","PCA (5-PC distance)",3,0.0959795893715123,"2,5,1"
"COVID-19","PCA (5-PC distance)",5,0.223630224843662,"2,5,1,3,7"
"COVID-19","PCA (5-PC distance)",7,0.331264151447328,"2,5,1,3,7,8,4"
"COVID-19","PCA (5-PC distance)",10,0.415113215220832,"2,5,1,3,7,8,4,10,11,9"
"COVID-19","PCA (5-PC distance)",12,0.502892280777232,"2,5,1,3,7,8,4,10,11,9,6,12"
"COVID-19","DIIM",3,0.173343334793388,"2,3,5"
"COVID-19","DIIM",5,0.242742674963976,"2,3,5,12,8"
"COVID-19","DIIM",7,0.292932533364353,"2,3,5,12,8,9,10"
"COVID-19","DIIM",10,0.384190818942516,"2,3,5,12,8,9,10,14,6,11"
"COVID-19","DIIM",12,0.442625241101933,"2,3,5,12,8,9,10,14,6,11,7,13"
"COVID-19","Sensitivity",3,0.214420373378961,"3,4,2"
"COVID-19","Sensitivity",5,0.303205516336752,"3,4,2,6,7"
"COVID-19","Sensitivity",7,0.383957633957719,"3,4,2,6,7,10,12"
"COVID-19","Sensitivity",10,0.486441151748716,"3,4,2,6,7,10,12,5,11,15"
"COVID-19","Sensitivity",12,0.532626441450714,"3,4,2,6,7,10,12,5,11,15,8,13"
"COVID-19","Network Centrality",3,0.117392864996458,"4,9,8"
"COVID-19","Network Centrality",5,0.207365013879045,"4,9,8,2,10"
"COVID-19","Network Centrality",7,0.286171034354626,"4,9,8,2,10,7,5"
"COVID-19","Network Centrality",10,0.369111052376784,"4,9,8,2,10,7,5,11,12,1"
"COVID-19","Network Centrality",12,0.502892280777232,"4,9,8,2,10,7,5,11,12,1,6,3"
"Manpower","PCA (PC1 only)",3,1.13848143922045,"17,57,54"
"Manpower","PCA (PC1 only)",5,1.90950908172052,"17,57,54,69,15"
"Manpower","PCA (PC1 only)",7,2.21312035602083,"17,57,54,69,15,62,78"
"Manpower","PCA (PC1 only)",10,2.96345393319827,"17,57,54,69,15,62,78,60,70,47"
"Manpower","PCA (PC1 only)",15,4.33851461826158,"17,57,54,69,15,62,78,60,70,47,53,82,71,84,26"
