"q0_pattern","c_star_multiplier","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","diim_sectors","overlap","q0_gini"
"original",0.5,14240.7401787029,14175.2790249098,14175.2494357388,65.4611537930614,65.4907429640498,TRUE,"2,3,5,12,8",4,0.463284151897101
"original",1,26967.3034635492,26901.8423097561,26901.8127205851,65.4611537930723,65.4907429640625,TRUE,"2,3,5,12,8",4,0.463284151897101
"original",1.5,39693.8667483955,39628.4055946025,39628.3760054314,65.4611537929959,65.4907429640225,TRUE,"2,3,12,5,8",4,0.463284151897101
"uniform",0.5,15682.1270404652,15516.5384681316,15517.141083813,165.58857233364,164.985956652186,FALSE,"2,3,5,8,12",4,0
"uniform",1,28408.6903253115,28243.1017529778,28243.7043686593,165.588572333665,164.985956652192,FALSE,"2,3,5,12,8",4,0
"uniform",1.5,41135.2536101578,40969.6650378241,40970.2676535056,165.588572333654,164.985956652185,FALSE,"2,3,5,12,8",4,0
"concentrated_top3",0.5,14284.3267577713,14191.9334903613,14192.0841442817,92.3932674100142,92.2426134896468,FALSE,"2,3,5,12,8",4,0.6
"concentrated_top3",1,27010.8900426176,26918.4967752076,26918.647429128,92.3932674100215,92.2426134896668,FALSE,"2,3,5,12,8",4,0.6
"concentrated_top3",1.5,39737.4533274639,39645.0600600539,39645.2107139743,92.3932674100361,92.2426134896377,FALSE,"2,3,5,12,8",4,0.6
"concentrated_bottom3",0.5,17751.1817658448,17281.4538947247,17333.2911284817,469.727871120107,417.890637363063,FALSE,"2,3,8,9,5",4,0.6
"concentrated_bottom3",1,30477.7450506911,30059.7037594077,30059.854413328,418.04129128344,417.8906373631,FALSE,"2,3,8,5,12",4,0.6
"concentrated_bottom3",1.5,43204.3083355374,42786.267044254,42786.4176981743,418.041291283436,417.890637363082,FALSE,"2,3,8,5,12",4,0.6
